case_number,report_date,report_month_year,occur_date,occur_time,address,neighborhood,council_district,custom_crime_against,custom_crime_category,crime_against,offense_category,offense_type,offense_count,lat,lon,x_coord,y_coord,data_year
26-9708,1/11/2026,January 2026,1/11/2026,600,NW 5TH AVE / NW EVERETT ST,Old Town/Chinatown,4,Society,Weapon Law Violations,Society,Weapon Law Violations,Weapons Law Violations,1,45.525218660,-122.675486694,7644617,685088,2026
26-97081,4/5/2026,April 2026,4/4/2026,2230,0 BLOCK OF SE 7TH AVE,Buckman West,3,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.522568159,-122.658617466,7648913,684006,2026
26-97109,4/5/2026,April 2026,4/5/2026,355,14700 BLOCK OF SE DIVISION ST,Centennial,1,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.504302508,-122.511144072,7686532,676373,2026
26-97147,4/5/2026,April 2026,4/5/2026,534,12800 BLOCK OF NE WHITAKER WAY,Argay,1,Property,Burglary,Property,Burglary,Burglary,1,45.560354623,-122.530229070,7682154,696926,2026
26-9716,1/11/2026,January 2026,1/11/2026,628,500 BLOCK OF NE BROADWAY,Eliot,2,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.535111233,-122.660125081,7648649,688588,2026
26-9718,1/11/2026,January 2026,1/11/2026,630,6400 BLOCK OF S CORBETT AVE,South Portland,4,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.477639907,-122.676960645,7643772,667757,2026
26-97181,4/5/2026,April 2026,4/4/2026,1900,4900 BLOCK OF S LANDING DR,South Portland,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.487901374,-122.673772982,7644690,671475,2026
26-97186,4/5/2026,April 2026,3/30/2026,715,2300 BLOCK OF SE 82ND AVE,Montavilla,3,Property,Burglary,Property,Burglary,Burglary,1,45.505883400,-122.578615168,7669254,677387,2026
26-97204,4/5/2026,April 2026,4/4/2026,2000,7800 BLOCK OF N BRANDON AVE,Kenton,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.579898881,-122.688969099,7641703,705111,2026
26-97224,4/5/2026,April 2026,4/4/2026,2000,1000 BLOCK OF SW WASHINGTON ST,Downtown,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.521439541,-122.681910691,7642934,683755,2026
26-97239,4/5/2026,April 2026,4/5/2026,530,9700 BLOCK OF NE GLISAN ST,Hazelwood,1,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.526261815,-122.563139454,7673410,684713,2026
26-97250,4/5/2026,April 2026,4/4/2026,1555,4500 BLOCK OF SE MCLOUGHLIN BLVD,Brooklyn,3,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.490047375,-122.653508255,7649906,672118,2026
26-97265,4/5/2026,April 2026,4/5/2026,0,7400 BLOCK OF NE BROADWAY,Montavilla,3,Property,Burglary,Property,Burglary,Burglary,1,45.535392880,-122.586668020,7667468,688196,2026
26-97281,4/5/2026,April 2026,4/5/2026,1005,700 BLOCK OF NE 82ND AVE,Montavilla,3,Property,Vandalism,Property,Vandalism,Vandalism,1,45.527924943,-122.579094276,7669338,685424,2026
26-97284,4/5/2026,April 2026,4/5/2026,1050,SE 100TH AVE / SE DUKE ST,Lents,1,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.475370158,-122.561050014,7673472,666150,2026
26-97285,4/5/2026,April 2026,4/5/2026,1036,14600 BLOCK OF NE ROSE PKWY,Argay,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.544438679,-122.512488155,7686552,691011,2026
26-97288,4/5/2026,April 2026,4/4/2026,2200,9900 BLOCK OF SE WOODSTOCK CT,Lents,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.476595159,-122.561585819,7673346,666600,2026
26-97291,4/5/2026,April 2026,3/28/2026,1047,300 BLOCK OF NE 82ND AVE,Montavilla,3,Property,Fraud,Property,Fraud Offenses,Credit Card/ATM Fraud,1,45.525491094,-122.579110536,7669311,684537,2026
26-97295,4/5/2026,April 2026,4/4/2026,1500,500 BLOCK OF NE 99TH AVE,Hazelwood,1,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.526596781,-122.561902591,7673730,684827,2026
26-97302,4/5/2026,April 2026,4/5/2026,1125,900 BLOCK OF NE DEKUM ST,Woodlawn,2,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.571813726,-122.655541854,7650180,701934,2026
26-97314,4/5/2026,April 2026,4/4/2026,2000,1500 BLOCK OF N SUMNER ST,Overlook,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.560475363,-122.682974365,7643046,697990,2026
26-97315,4/5/2026,April 2026,4/5/2026,1108,200 BLOCK OF NW 20TH PL,Northwest,4,Property,Burglary,Property,Burglary,Burglary,1,45.524608758,-122.693281671,7640052,684989,2026
26-97326,4/5/2026,April 2026,4/5/2026,1116,6100 BLOCK OF N CUTTER CIR,Overlook,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.566739493,-122.702808703,7638030,700411,2026
26-97336,4/5/2026,April 2026,4/4/2026,1000,NE 76TH AVE / E BURNSIDE ST,Montavilla,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.522823803,-122.584742468,7667843,683602,2026
26-97354,4/5/2026,April 2026,4/5/2026,1157,12300 BLOCK OF SE POWELL BLVD,Powellhurst-Gilbert,1,Society,Other Society Offenses,Society,Pornography/Obscene Material,Pornography/Obscene Material,1,45.497079646,-122.536163962,7680053,673901,2026
26-97362,4/5/2026,April 2026,4/4/2026,1500,1500 BLOCK OF NE 67TH AVE,Madison South,3,Property,Vandalism,Property,Vandalism,Vandalism,1,45.533951827,-122.594246928,7665513,687721,2026
26-97376,4/5/2026,April 2026,4/5/2026,1223,4000 BLOCK OF N ALBINA AVE,Boise,2,Society,Other Society Offenses,Society,Pornography/Obscene Material,Pornography/Obscene Material,1,45.552714032,-122.674408539,7645163,695102,2026
26-97377,4/5/2026,April 2026,4/3/2026,2300,2200 BLOCK OF SE CESAR E CHAVEZ BLVD,Richmond,3,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.507199401,-122.622626589,7657987,678160,2026
26-97386,4/5/2026,April 2026,4/2/2026,1300,2900 BLOCK OF SW DOLPH CT,Multnomah,4,Property,Larceny: Other,Property,Larceny Offenses,Theft From Building,1,45.461662266,-122.707325782,7635827,662145,2026
26-97401,4/5/2026,April 2026,3/8/2026,1304,SE STEELE ST / SE 38TH AVE,Reed,4,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.484723889,-122.623643530,7657511,669975,2026
26-9741,1/11/2026,January 2026,1/11/2026,230,2800 BLOCK OF S WATER AVE,South Portland,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.502622014,-122.676486221,7644139,676859,2026
26-97416,4/5/2026,April 2026,4/5/2026,927,2700 BLOCK OF NE BROADWAY,Sullivan's Gulch,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.535115884,-122.637423915,7654464,688435,2026
26-97422,4/5/2026,April 2026,4/4/2026,1100,SE MARTIN LUTHER KING JR BLVD / SE BELMONT ST,Buckman West,3,Property,Robbery,Property,Robbery,Robbery,1,45.516466782,-122.661800355,7648038,681804,2026
