registry_number,business_name,entity_type,registry_date,nonprofit_type,address_type,address,address_continued,city,state,zip_code
187518,THE FIRST BAPTIST CHURCH OF MEDFORD OREGON,DOMESTIC NONPROFIT CORPORATION,1886-09-11,RELIGIOUS,MAILING ADDRESS,649 CRATER LAKE AVE,,MEDFORD,OR,97504
212613,GRAND RONDE VALLEY LODGE NO. 56 A.F. & A.M.,DOMESTIC NONPROFIT CORPORATION,1886-09-11,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 587,,UNION,OR,97883
190512,FIRST PRESBYTERIAN CHURCH OF ASHLAND,DOMESTIC NONPROFIT CORPORATION,1887-02-03,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 626,,ASHLAND,OR,97520
187914,"ASTORIA LODGE NO. 2, UNITED FINNISH KALEVA BROTHERS AND SISTERS",DOMESTIC NONPROFIT CORPORATION,1887-03-16,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,855 GLASGOW,,ASTORIA,OR,97103
188318,"MORELAND PRESBYTERIAN CHURCH OF PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1887-05-06,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1814 SE BYBEE BLVD,,PORTLAND,OR,97202
232918,HARNEY LODGE NO 77 OF THE INDEPENDENT ORDER OF ODD FELLOWS,DOMESTIC NONPROFIT CORPORATION,1887-05-31,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 514,,BURNS,OR,97720
477711,"ST. MARY'S PARISH, EPISCOPAL, OF EUGENE, OREGON",DOMESTIC NONPROFIT CORPORATION,1887-06-02,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1300 PEARL ST,,EUGENE,OR,97401
411017,"FIRST PRESBYTERIAN CHURCH, NEWPORT, OREG",DOMESTIC NONPROFIT CORPORATION,1887-07-29,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,227 NE 12TH STREET,,NEWPORT,OR,97365
189019,"FIRST BAPTIST CHURCH OF EUGENE, OREGON",DOMESTIC NONPROFIT CORPORATION,1887-10-13,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,3550 FOX MEADOW RD,,EUGENE,OR,97408
434910,WOMEN'S FOUNDATION OF OREGON,DOMESTIC NONPROFIT CORPORATION,1887-10-26,PUBLIC BENEFIT,MAILING ADDRESS,221 NW 2ND AVE,SUITE 302,PORTLAND,OR,97209
